nome_do_titulo,worth_it,nome_do_fundo,data_da_analise,numeroTotalDeCotistas,n_cotistas_pessoa_fisica,n_cotistas_pessoa_juridica_nao_financeira,n_cotistas_banco_comercial,n_cotistas_corretora_ou_distribuidora,n_cotistas_outras_pessoas_juridicas_financeiras,n_cotistas_investidores_nao_residentes,n_cotistas_entidade_aberta_de_previdencia,n_cotistas_entidade_fechada_de_previdencia,n_cotistas_regime_proprio_de_previdencia,n_cotistas_sociedade_seguradora,n_cotistas_sociedade_de_capitalizacao,n_cotistas_fiis,n_cotistas_outros_fundos_de_investimento,n_cotistas_distribuidores_de_fundo,n_cotistas_nao_relacionados,ativos,patrimonio_liquido,n_de_cotas_emitidas,valor_patrimonial_das_cotas,despesas_com_taxas_de_adm_em_relacao_ao_patrimonio,despesas_com_agente_custodiante_em_relacao_ao_patrimonio,rentabilidade_efetiva_mensal,rentabilidade_patrimonial,dividend_yield,amortizacoes_de_cotas_no_mes_ref,total_mantido_para_necessidade_de_liquidez,total_mantido_para_necessidade_de_liquidez_disponibilidade,total_mantido_para_necessidade_de_liquidez_titulos_publicos,total_mantido_para_necessidade_de_liquidez_titulos_privados,total_mantido_para_necessidade_de_liquidez_fundos_de_renda_fixa,total_investido,total_investido_direitos_reais_sobre_bens,total_investido_direitos_reais_sobre_bens_terrenos,total_investido_direitos_reais_sobre_bens_imoveis_para_renda_acabados,total_investido_direitos_reais_sobre_bens_imoveis_para_renda_em_construcao,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_acabados,total_investido_direitos_reais_sobre_bens_imoveis_para_venda_em_construcao,total_investido_direitos_reais_sobre_bens_outros_direitos_reais,total_investido_acoes,total_investido_debentures,total_investido_subscricao,total_investido_depositos_de_valores_mobiliarios,total_investido_cedulas_debentures,total_investido_fia,total_investido_fip,total_investido_fii,total_investido_fidc,total_investido_outras_cotas_de_fundos,total_investido_notas_promissorias,total_investido_acoes_de_sociedades,total_investido_cotas_de_sociedades,total_investido_cepac,total_investido_cri_ou_cra,total_investido_letras_hipotecarias,total_investido_lci_ou_lca,total_investido_lig,total_investido_outros_valores_mobiliarios,valores_a_receber,valores_a_receber_por_alugueis,valores_a_receber_por_venda_de_imoveis,valores_a_receber_por_outros,passivo_rendimentos_a_distribuir,passivo_taxa_de_adm,passivo_taxa_de_performance,passivo_obrigacoes_por_aquisicao_de_imoveis,passivo_adiantamento_por_venda_de_imoveis,passivo_adiantamento_de_valores_de_alugueis,passivo_obrigacoes_por_securitizacao_de_recebiveis,passivo_instrumentos_financeiros_derivativos,passivo_provisoes_para_contingencias,passivo_outros_valores_a_pagar,passivo_total
TRXF11,1,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11/2023,117516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2376572872.7,1377838035.77,13269951.0,103.831434,0,0,2.957,2.0403,0.9167,0,161136073.08,22284286.1,0,0,138851786.98,2154082072.91,998283789.51,0,689734273.89,241354515.62,0,0,67195000.0,0,0,0,0,0,0,0,469586919.73,0,0,0,675639741.13,0,0,10571622.54,0,0,0,0,61354726.71,16334398.17,28264100.0,16756228.54,12378245.39,1110706.12,0,94807522.03,0,0,631718404.84,0,0,258719958.55,998734836.93
TRXF11,1,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,10/2023,111313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196117143.4,1350333255.06,13269951.0,101.758722,0,0,-0.3442,-1.2179,0.8737,0,43336058.09,1000.0,0,0,43335058.09,2088108376.41,1002102444.37,0,706088797.99,228818646.38,0,0,67195000.0,0,0,0,0,0,0,0,398322833.38,0,0,0,675639401.21,0,0,12043697.45,0,0,0,0,64672708.9,10249114.94,25207500.0,29216093.96,11942955.9,1171773.09,0,89039127.21,0,0,652784182.95,0,0,90845849.19,845783888.34
TRXF11,1,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,09/2023,108373,108094,231,0,2,1,9,0,0,0,0,0,8,28,0,0,2167161270.06,1366990696.26,13269951.0,103.013997,0,0,1.1645,0.2883,0.8762,0,8486171.57,1067.71,0,0,8485103.86,2093198194.78,996090547.02,0,706066439.83,222829107.19,0,0,67195000.0,0,0,0,0,0,0,0,409174269.19,0,0,0,675639401.21,0,0,12293977.36,0,0,0,0,65476903.71,10114583.68,26115000.0,29247320.03,11942955.9,1158045.55,0,54344084.86,0,0,653782795.42,0,0,78942692.07,800170573.8
TRXF11,1,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,08/2023,106264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172299089.87,1363034036.05,13269951.0,102.71583,0,0,-2.2914,-3.1401,0.8487,0,19278786.64,5009.76,0,0,19273776.88,2089639873.01,988248610.27,0,706035655.6,215017954.67,0,0,67195000.0,0,0,0,0,0,0,0,413194565.32,0,0,0,675639401.21,0,0,12557296.21,0,0,0,0,63380430.22,10019985.62,27022500.0,26337944.6,11942955.9,1196012.77,0,60518045.31,0,0,655342056.71,0,0,80265983.13,809265053.82
TRXF11,1,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,07/2023,103828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190538733.98,1271774618.8,11992687.0,106.045844,0,0,1.8388,0.929,0.9098,0,9930467.56,2000.0,0,0,9928467.56,2115123373.89,979645718.84,0,705712544.55,206738174.29,0,0,67195000.0,0,0,0,0,0,0,0,447149734.83,0,0,0,675639401.21,0,0,12688519.01,0,0,0,0,65484892.53,10002244.07,27930000.0,27552648.46,11464485.04,1073715.13,0,68499561.57,0,0,657048115.18,0,0,180678238.26,918764115.18
TRXF11,1,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,06/2023,100710,100478,184,0,2,1,8,0,0,0,0,0,8,29,0,0,2218949825.71,1260068389.62,11992687.0,105.06973,0,0,1.8314,0.9367,0.8947,0,10859571.88,1992.5,0,0,10857579.38,2146777001.4,993211350.61,0,722719151.01,203297199.6,0,0,67195000.0,0,0,0,0,0,0,0,447275226.44,0,0,0,675579401.21,0,0,30711023.14,0,0,0,0,61313252.43,9205503.56,24300000.0,27807748.87,11169309.33,1015509.89,0,78997038.22,0,0,680591981.19,0,0,187107597.46,958881436.09
CPTS11,1,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,02/2024,361884,361245,552,0,2,1,14,3,2,0,0,0,32,30,0,3,3333193656.47,2912499128.9,317828140.0,9.163755,0,0.0,1.4366,0.5394,0.8972,0.0,16949485.12,4610929.71,0.0,0.0,12338555.41,3146513199.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906573979.5,0.0,2548018.87,0.0,0.0,0.0,0.0,2237391201.41,0.0,0.0,0.0,0.0,169730971.57,0.0,0.0,169730971.57,0.0,2364871.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418329656.2,420694527.57
CPTS11,1,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,01/2024,347058,346441,532,0,1,1,14,3,2,0,0,0,33,29,0,2,3209989420.51,2896873604.0,317828140.0,9.114591,0,0.0,0.3612,-0.4152,0.7764,0.0,1420003.17,0.0,0.0,0.0,1420003.17,3203727199.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941688057.38,0.0,2612612.75,0.0,0.0,0.0,0.0,2259426529.3,0.0,0.0,0.0,0.0,4842217.91,0.0,0.0,4842217.91,0.0,2362456.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310753360.22,313115816.51
CPTS11,1,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,12/2023,311604,310995,516,0,1,1,16,3,2,0,0,0,33,34,0,3,3298185376.39,2908951684.03,317828140.0,9.152593,0,0.0,1.9434,1.2339,0.7095,0.0,30541295.25,25394692.94,0.0,0.0,5146602.31,3262288606.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013476891.4,0.0,2544178.56,0.0,0.0,0.0,0.0,2246267536.7,0.0,0.0,0.0,0.0,5355474.48,0.0,0.0,5355474.48,20694822.12,2246313.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366292557.13,389233692.36
CPTS11,1,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11/2023,295246,294638,517,0,2,1,13,2,2,0,0,0,35,33,0,3,3371953421.81,2873494666.5,317828140.0,9.041033,0,0.0,2.9918,2.3017,0.6901,0.0,69275380.19,0.0,0.0,0.0,69275380.19,3214687963.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916568556.68,0.0,2478018.48,0.0,0.0,0.0,0.0,2295641388.25,0.0,0.0,0.0,0.0,87990078.21,0.0,0.0,87990078.21,0.0,2206594.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496252160.95,498458755.31
